Song Title,Band,Time,Gender of Lead Singer,Genre,Monthly Listeners,Ranking of Song,Country of Origin,Year Released
Thank You,Chris Cornell,4:48,Male,Rock,2298503,5,USA,2011
Hey Now,The Regrettes,3:29,Female,Punk,567057,2,USA,2017
Sara,Fleetwood Mac,4:37,Female,Rock,26614004,10,UK,1978
Us and Them,Pink Floyd,7:49,Male,Rock,13478194,10,UK,1973
Whisper To A Scream,The Icicle Works,3:48,Male,Rock,118567,1,UK,1984
Stairway To Heaven,Led Zeppelin,8:00,Male,Rock,14689118,17,UK,1971
Heart Of Glass,Blondie,3:49,Female,Pop,6907916,1,USA,1978
Bonfire,Childish Gambino,3:14,Male,Rap,14389035,7,USA,2011
Big Me,Foo Fighters,2:13,Male,Alternative,12227426,17,USA,1995
Don't Let Me Be Misunderstood,The Animals,2:29,Male,Rock,5067440,2,UK,1965
Bad Moon Rising,Creedence Clearwater Revival,2:22,Male,Rock,13734185,2,USA,1969
Going Bad,Meek Mill,3:00,Male,Rap,12851704,3,USA,2018
The Man Who Sold The World,Nirvana,3:37,Male,Rock,15210672,10,USA,1994
Rich Girl,Gwen Stefani,3:24,Female,Pop,8815938,4,USA,2004
Tongues,The Frights,3:09,Male,Punk,907718,7,USA,2014
A Teenager In Love,Dion & The Belmonts,2:35,Male,Pop,946266,7,USA,1959
Love Her Madly,The Doors,3:21,Male,Rock,8812875,6,USA,1971
Run To Me,Bee Gees,3:13,Male,Disco,11519730,24,Australia,1972
Voodoo Child ,The Jimi Hendrix Experience,5:12,Male,Rock,8361333,13,USA,1972
The Rain The Park And Other Things,The Cowsills,3:04,Male,Pop,145930,1,USA,1967
I Wish,Skee-Lo,4:09,Male,Rap,792685,1,USA,1994
C.R.E.A.M.,Wu-Tang Clan,4:12,Male,Rap,3857262,1,USA,1993
"Girl, You'll Be A Woman Soon",Urge Overkill,3:09,Male,Rock,550384,1,USA,1994
You're So Vain,Carly Simon,4:18,Female,Rock,3852522,1,USA,1972
No Scrubs ,TLC,3:37,Female,Pop,6971966,2,USA,1992
I Love You So,The Walters,2:40,Male,Alternative,1237730,1,UK,2014
The Crystal Ship,The Doors,2:34,Male,Rock,8812875,13,USA,1967
One Fine Day,The Offspring,2:45,Male,Rock,9546868,28,USA,2000
Somebody To Love,Queen,4:56,Male,Rock,33096627,7,UK,1976
Dark Necessities,Red Hot Chili Peppers,5:02,Male,Rock,19839301,16,USA,2016
Waiting For A Girl Like Your,Foreigner,4:52,Male,Rock,7331771,2,USA,1981
Shout,Tears For Fears,4:47,Male,Pop,8501621,4,UK,1985
Sea Sick,Binki,2:11,Male,Rap,391060,2,USA,2019
Harness Your Hopes,Pavement,3:26,Male,Alternative,1123048,87,USA,1997
Cruel To Be Kind,Letters To Cleo,3:02,Female,Pop,289598,2,USA,1999
Angie ,The Rolling Stones,4:32,Male,Rock,19247497,23,UK,1973
Middle of Somewhere,The Neighbourhood,2:53,Male,Alternative,13302720,41,USA,2020
We're Through,The Hollies,2:14,Male,Rock,3436015,25,UK,1964
The One You Know,Alice In Chains,4:49,Male,Metal,4873170,88,USA,2018
For Whom The Bell Tolls,Metallica,5:09,Male,Metal,15680022,7,USA,1984
Monkey Gone To Heaven,Pixies,2:56,Male,Alternative,5091570,8,USA,1989
Feeling Good,Nina Simone,2:52,Female,Soul,6144782,1,USA,1965
Love Street,The Doors,2:53,Male,Rock,8812875,22,USA,1968
Ventura Highway,America,3:32,Male,Rock,5593948,1,UK,1972
What Is And What Should Never Be,Led Zeppelin,4:46,Male,Rock,14689118,14,UK,1969
Don't Worry Baby,The Beach Boys,2:49,Male,Pop,8793155,7,USA,1964
Nightain,Guns N' Roses,4:50,Male,Rock,18342476,11,USA,1992
I've Just Seen A Face,The Beatles,2:05,Male,Pop,22529040,72,UK,1965
Dark Red,Steve Lacy,2:53,Male,Alternative,4093217,1,USA,2017
,,,,,,,,
,,,,,,,,
,,,,,,,,
